pred	real
1.6598053e-08	0
4.803254e-08	0
1.0	1
7.891543e-06	0
1.0	1
0.99910295	1
1.5467243e-06	0
1.0	1
1.0	1
3.8539147e-07	0
1.0	1
3.8114365e-09	0
1.0	1
4.664326e-08	0
2.5427332e-10	0
1.0	1
2.1484207e-10	0
1.0	1
1.0	1
1.0	1
4.3931186e-07	0
1.0	1
9.9207995e-08	0
2.4354772e-06	0
1.0	1
5.308725e-11	0
8.330782e-07	0
1.0	1
1.0	1
4.9692187e-07	0
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
3.33338e-08	0
1.0	1
1.0	1
4.888839e-10	0
7.0564695e-08	0
3.539446e-07	0
5.392488e-08	0
6.0383604e-07	0
1.0	1
1.1947155e-07	0
1.0	1
1.0	1
1.0	1
1.0	1
1.1458993e-05	0
1.1077224e-06	0
1.1209231e-06	0
1.300239e-08	0
8.673744e-07	0
9.5976946e-05	0
1.0	1
5.7426664e-06	0
4.028145e-09	0
1.0	1
1.625808e-07	0
1.8593161e-07	0
4.477082e-08	0
2.1936927e-07	0
1.0	1
1.0	1
1.6526554e-06	0
1.00992485e-08	0
0.9995161	1
1.1240168e-08	0
1.0	1
1.0	1
0.99999523	1
1.8087629e-05	0
1.0	1
1.0	1
1.1645268e-08	0
1.3629846e-08	0
0.99999976	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
0.002735589	0
1.0	1
1.0	1
2.7708411e-09	0
1.0	1
2.0834685e-05	0
1.0	1
1.0	1
1.0	1
1.0	1
1.0994061e-08	0
7.2062477e-07	0
1.0	1
1.0	1
1.0	1
2.2810333e-08	0
1.0	1
0.01078564	0
1.0	1
1.0	1
0.99999917	1
7.1890476e-08	0
0.9910781	1
2.1484153e-07	0
8.431687e-10	0
5.7535003e-09	0
3.102569e-08	0
1.0	1
1.0	1
1.0	1
1.0	1
2.3081878e-10	0
1.0	1
1.0	1
1.1097346e-06	0
1.0	1
1.0	1
0.91319764	1
1.0	1
6.068432e-08	0
3.039017e-07	0
1.0	1
0.9932641	1
1.0	1
1.0	1
