pred	real
1.5702675e-08	0
5.5549148e-08	0
1.0	1
1.7036671e-05	0
0.999984	1
0.99815875	1
9.1049543e-07	0
0.9999999	1
1.0	1
1.5138856e-07	0
1.0	1
5.8223456e-08	0
1.0	1
4.061215e-06	0
5.8313225e-09	0
1.0	1
3.0086833e-09	0
1.0	1
1.0	1
0.9999988	1
6.6262334e-07	0
1.0	1
6.5911263e-09	0
2.8989289e-06	0
1.0	1
1.5143333e-07	0
2.8960417e-07	0
1.0	1
1.0	1
1.0066085e-06	0
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
2.7043527e-07	0
1.0	1
1.0	1
7.741867e-10	0
1.8015598e-09	0
1.1104989e-05	0
3.5640443e-07	0
1.014801e-07	0
1.0	1
3.3836316e-09	0
1.0	1
1.0	1
1.0	1
1.0	1
6.61743e-07	0
4.2682916e-07	0
1.5009748e-06	0
8.417528e-07	0
1.4879284e-07	0
0.000108925895	0
1.0	1
3.5822068e-06	0
3.227199e-07	0
1.0	1
2.2810378e-08	0
8.619946e-07	0
6.094915e-08	0
2.1372247e-07	0
1.0	1
1.0	1
1.2313901e-06	0
2.3467763e-07	0
1.0	1
1.5311914e-08	0
1.0	1
1.0	1
1.0	1
3.57827e-07	0
1.0	1
1.0	1
6.395114e-10	0
5.2834384e-08	0
0.99999976	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
2.0646867e-07	0
1.0	1
1.0	1
3.2461027e-09	0
1.0	1
0.00032649614	0
1.0	1
1.0	1
1.0	1
1.0	1
3.814935e-09	0
2.604772e-06	0
1.0	1
1.0	1
1.0	1
1.4689758e-07	0
1.0	1
0.0024350584	0
1.0	1
1.0	1
1.0	1
2.9909427e-07	0
1.0	1
9.115601e-08	0
1.3688991e-07	0
3.9552187e-08	0
6.1048276e-08	0
1.0	1
1.0	1
1.0	1
1.0	1
1.3175393e-05	0
1.0	1
1.0	1
1.3984422e-06	0
1.0	1
1.0	1
1.0	1
1.0	1
4.2524593e-09	0
1.1820459e-05	0
1.0	1
0.9999999	1
1.0	1
1.0	1
4.3024696e-07	0
1.6780407e-06	0
1.0	1
7.94609e-06	0
1.0	1
1.1169477e-07	0
1.0	1
1.0	1
1.0	1
0.046992563	0
1.0	1
1.0	1
1.0	1
1.993595e-07	0
1.9013743e-06	0
9.9646175e-05	0
2.4200423e-08	0
1.0	1
4.7806605e-08	0
2.0790607e-08	0
1.0	1
1.0	1
1.0	1
0.9999999	1
1.0	1
1.0	1
8.37724e-08	0
1.0	1
1.0	1
5.946837e-07	0
9.374959e-07	0
1.0	1
0.9999988	1
1.0	1
1.0	1
1.5180204e-07	0
4.6696894e-07	0
5.464259e-07	0
1.0	1
1.2162151e-07	0
3.4528593e-06	0
3.0569225e-07	0
2.1693672e-06	0
1.3741929e-09	0
1.0	1
5.3553777e-07	0
3.6807673e-08	0
1.0	1
1.0	1
6.508987e-08	0
9.768463e-08	0
1.0	1
2.1174564e-07	0
1.0	1
2.1016671e-08	0
1.0	1
3.9371475e-08	0
1.0	1
7.346556e-07	0
0.99999976	1
1.0445148e-07	0
4.690189e-07	0
1.0	1
1.975132e-08	0
1.6535603e-06	0
1.9864149e-06	0
1.0	1
6.1965244e-07	0
1.4977261e-06	0
1.0	1
9.0026155e-08	0
1.0	1
1.0	1
6.092915e-08	0
1.392892e-06	0
1.0	1
1.0	1
1.0	1
1.0	1
0.9999999	1
1.0	1
3.386454e-08	0
1.0	1
1.0	1
1.0	1
1.5149227e-07	0
1.0	1
1.0	1
7.4304346e-08	0
6.0548335e-09	0
5.680467e-07	0
1.0	1
1.0	1
9.9493525e-09	0
1.9224157e-07	0
1.0	1
6.0755174e-09	0
1.0	1
1.0	1
1.0	1
1.0	1
8.554724e-09	0
4.7172966e-10	0
1.0	1
1.0	1
1.0	1
1.0	1
1.7691772e-06	0
1.0	1
1.0	1
1.0437617e-08	0
1.0	1
1.4693303e-09	0
1.875907e-07	0
7.265469e-07	0
8.157838e-09	0
6.9838626e-07	0
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
4.0286048e-07	0
6.273832e-08	0
1.0	1
1.0	1
0.0006766565	0
1.0	1
3.6181262e-07	0
1.0	1
1.2454451e-07	0
1.1923763e-07	0
6.2325376e-09	0
3.0274796e-06	0
1.0	1
3.555421e-07	0
7.701458e-09	0
6.609868e-07	0
1.0	1
8.237486e-09	0
1.0	1
1.1535326e-09	0
1.0	1
3.5756084e-08	0
1.0745259e-09	0
1.0	1
1.0	1
1.0	1
1.0	1
1.0254248e-05	0
1.0	1
1.0	1
1.0	1
1.1434369e-06	0
1.0	1
1.0	1
1.0	1
1.0785696e-08	0
0.9999999	1
6.4571905e-06	0
4.6562192e-08	0
1.0	1
1.3779118e-07	0
1.0	1
1.0	1
2.2488139e-07	0
9.639771e-08	0
4.99872e-06	0
1.0	1
1.0	1
1.0	1
1.0	1
3.2027465e-08	0
7.5407636e-10	0
1.0	1
0.99999964	1
3.757282e-08	0
5.7586814e-05	0
4.4363702e-07	0
1.0	1
3.7226928e-07	0
4.510398e-08	0
2.333847e-07	0
2.4475892e-11	0
4.4837485e-08	0
3.4604937e-11	0
1.0	1
3.5548933e-09	0
1.6533344e-08	0
6.0275474e-09	0
6.7799874e-07	0
1.2174805e-06	0
7.250474e-09	0
1.0	1
1.8548727e-07	0
2.9527436e-08	0
7.043423e-09	0
3.082667e-08	0
1.0523378e-07	0
3.1702878e-06	0
1.0	1
1.0	1
8.084174e-08	0
5.077979e-09	0
1.0	1
2.4552236e-08	0
1.0	1
1.0	1
1.0	1
1.0	1
0.99927574	1
1.0	1
1.5180204e-07	0
2.557372e-06	0
1.6876216e-06	0
0.9999976	1
8.981075e-08	0
1.0	1
2.1330973e-07	0
1.8323156e-09	0
1.0	1
1.0	1
7.572332e-09	0
1.0	1
1.0	1
3.909622e-09	0
1.0	1
1.0	1
9.40661e-08	0
3.3460087e-10	0
9.9292484e-11	0
4.1108012e-07	0
6.453734e-07	0
3.7320834e-08	0
1.0	1
1.0	1
1.0	1
1.0	1
7.305519e-08	0
1.0	1
3.0919037e-07	0
8.0676227e-10	0
1.0	1
1.0	1
1.0	1
1.0	1
2.025545e-08	0
1.0	1
1.0	1
1.0	1
3.1887382e-09	0
1.1345613e-06	0
1.0	1
3.3521235e-09	0
1.0	1
1.0	1
1.0	1
1.0	1
5.413095e-09	0
0.26447472	0
1.0	1
1.0	1
2.5609246e-08	0
1.5984728e-09	0
8.8666086e-05	0
1.0	1
4.180581e-07	0
1.0	1
1.63111e-07	0
1.0	1
1.0032857e-08	0
7.619069e-09	0
1.0	1
8.9327494e-07	0
1.591277e-07	0
1.5719957e-06	0
2.0503305e-06	0
1.0	1
7.509234e-09	0
1.1864586e-11	0
2.9104582e-05	0
1.0	1
1.18443054e-07	0
1.0	1
6.382501e-07	0
1.6822623e-08	0
1.0	1
1.0	1
1.0	1
5.77876e-10	0
0.991184	1
3.1058136e-08	0
1.0	1
1.0	1
0.9999994	1
6.5619207e-07	0
0.999987	1
8.106189e-09	0
4.9516418e-09	0
3.1596368e-08	0
2.0074415e-08	0
1.4276827e-06	0
2.7902716e-10	0
1.1887522e-09	0
1.0	1
2.1916163e-07	0
1.1216834e-05	0
1.0	1
4.3387328e-08	0
1.8804315e-07	0
4.5976657e-07	0
5.2690933e-07	0
7.0659306e-10	0
1.7682683e-07	0
1.0	1
5.05185e-07	0
2.1672045e-06	0
1.0	1
1.0	1
1.0	1
1.0	1
1.7847442e-06	0
1.0	1
1.0	1
1.6793608e-08	0
1.0	1
1.0	1
2.751675e-06	0
5.4996047e-10	0
2.3195088e-09	0
1.0	1
5.360981e-09	0
1.0	1
1.0	1
8.9066376e-10	0
6.096553e-08	0
1.4666507e-07	0
4.610036e-09	0
9.835662e-07	0
5.4555315e-08	0
1.0	1
1.0	1
1.0	1
1.0	1
4.510941e-07	0
1.0	1
4.4197012e-08	0
3.0979963e-09	0
1.0	1
3.4664824e-06	0
1.0	1
0.99999785	1
1.9618257e-08	0
4.2540837e-08	0
1.0	1
8.4717534e-08	0
1.0	1
1.0	1
1.0	1
1.7054816e-08	0
9.648896e-06	0
1.0	1
1.0	1
1.0	1
0.000249214	0
1.7872055e-06	0
3.3953537e-08	0
1.8587908e-08	0
1.0	1
6.7585034e-07	0
1.0	1
1.0	1
5.807248e-09	0
1.0	1
1.0	1
3.4455536e-06	0
1.0	1
1.0	1
1.0	1
1.0	1
4.4981575e-06	0
8.9037223e-07	0
2.1765592e-07	0
