pred	real
0.0154118985	0
0.013774788	0
0.9995511	1
0.013335948	0
1.0	1
0.994101	1
0.012931242	0
0.07460134	1
0.9999963	1
0.08397682	0
0.9999962	1
0.009360669	0
1.0	1
0.053754378	0
0.0074057267	0
0.99922013	1
0.010430301	0
0.99999976	1
0.9999242	1
0.87413347	1
0.010338998	0
0.9999939	1
0.005079979	0
0.01138133	0
0.99989724	1
0.0233315	0
0.008424203	0
0.9997714	1
0.99991596	1
0.067360096	0
1.0	1
1.0	1
0.9999919	1
0.99987686	1
0.9981329	1
0.9999547	1
0.0499622	0
0.9999994	1
0.99787617	1
0.007005072	0
0.007979943	0
0.040889125	0
0.0072591486	0
0.009448421	0
0.7139922	1
0.014607073	0
0.9999982	1
0.99998415	1
0.99942136	1
0.9999999	1
0.0070024263	0
0.010254776	0
0.016247513	0
0.007442037	0
0.01342036	0
0.048910033	0
0.9999999	1
0.010491022	0
0.022687202	0
0.99999964	1
0.00627651	0
0.008608488	0
0.015451717	0
0.008003888	0
0.9999796	1
0.990549	1
0.023591004	0
0.016345171	0
0.9999894	1
0.00823429	0
0.99999976	1
0.99999976	1
0.9999957	1
0.013048413	0
1.0	1
1.0	1
0.014768177	0
0.033512346	0
0.9666585	1
0.9999999	1
1.0	1
1.0	1
0.9995716	1
0.9733882	1
1.0	1
0.4651685	0
0.9988549	1
1.0	1
0.006645449	0
0.9994417	1
0.10326297	0
1.0	1
0.9999919	1
0.99844897	1
1.0	1
0.014521025	0
0.007992425	0
0.9978574	1
0.9999943	1
0.99958116	1
0.009751508	0
0.9995443	1
0.007898849	0
0.99924433	1
0.9999858	1
0.9999999	1
0.00755467	0
0.98601985	1
0.014778796	0
0.007981529	0
0.006617374	0
0.009945514	0
1.0	1
0.9999739	1
0.9998652	1
0.9998313	1
0.01101233	0
0.9984855	1
0.9999852	1
0.009283955	0
0.9999982	1
0.99829835	1
0.9258089	1
0.9999975	1
0.00798872	0
0.021464236	0
0.99950576	1
0.038951095	1
0.99994075	1
0.99998546	1
0.011307366	0
0.021262038	0
0.9996654	1
0.017526595	0
0.999961	1
0.029775705	0
0.99999976	1
0.99978906	1
0.99489707	1
0.060770456	0
0.99994123	1
1.0	1
0.9762765	1
0.009113168	0
0.010222015	0
0.13340293	0
0.0076607186	0
1.0	1
0.0057404432	0
0.007165672	0
0.9999987	1
0.9999995	1
0.999969	1
0.99991834	1
1.0	1
0.9999999	1
0.008890612	0
1.0	1
1.0	1
0.009054888	0
0.006673042	0
0.98954004	1
0.9241797	1
1.0	1
1.0	1
0.010312646	0
0.01491544	0
0.010505644	0
1.0	1
0.010748652	0
0.01584206	0
0.01689499	0
0.01812214	0
0.0078093535	0
0.9999951	1
0.0077869818	0
0.0093392655	0
0.9999893	1
1.0	1
0.008785062	0
0.010361544	0
0.99761415	1
0.005004682	0
0.9999995	1
0.0072752405	0
1.0	1
0.0072841863	0
0.9999908	1
0.015955176	0
0.99999905	1
0.012778435	0
0.027885856	0
0.99721473	1
0.00738135	0
0.045181535	0
0.00932115	0
0.9986727	1
0.022827152	0
0.060918238	0
0.9999974	1
0.009805178	0
0.99653685	1
0.70706356	1
0.0071668527	0
0.025909599	0
0.9999951	1
0.9996755	1
0.9764879	1
0.99999607	1
0.9660371	1
0.998779	1
0.008939518	0
0.9957776	1
0.88900137	1
0.99999714	1
0.012345887	0
0.999985	1
0.81717867	1
0.008688027	0
0.0074938377	0
0.008997258	0
0.99999094	1
0.97273916	1
0.0071053035	0
0.008742975	0
0.99976236	1
0.0061843735	0
0.99978906	1
0.98516625	1
1.0	1
1.0	1
0.011628428	0
0.010223163	0
0.9999969	1
0.9985544	1
1.0	1
1.0	1
0.0100381235	0
0.9999976	1
0.9999981	1
0.007623652	0
0.9999988	1
0.005955477	0
0.007302277	0
0.0088137	0
0.009987219	0
0.010197506	0
1.0	1
1.0	1
0.99999833	1
0.92427206	1
0.9998776	1
0.008220905	0
0.01868509	0
0.99915886	1
0.9998573	1
0.9287114	0
0.99938095	1
0.008881507	0
1.0	1
0.009822117	0
0.008092187	0
0.010038238	0
0.09829269	0
1.0	1
0.008320609	0
0.007723166	0
0.0067686383	0
0.9981019	1
0.010327997	0
0.99843854	1
0.007238916	0
0.9999943	1
0.014101006	0
0.0069543542	0
0.9656293	1
1.0	1
0.9999609	1
0.99999857	1
0.4879727	0
0.9999968	1
0.99999213	1
0.9998952	1
0.015625611	0
0.9998203	1
0.99954104	1
0.9999999	1
0.006368164	0
0.7146061	1
0.034129426	0
0.008993712	0
1.0	1
0.009924857	0
1.0	1
0.9999989	1
0.03056962	0
0.009698744	0
0.028975701	0
0.9999101	1
1.0	1
0.9934249	1
1.0	1
0.0071809194	0
0.007017155	0
0.99984753	1
0.999966	1
0.0073291077	0
0.07585539	0
0.006829884	0
0.8894231	1
0.007613946	0
0.0074918587	0
0.02024342	0
0.0061487337	0
0.021418903	0
0.008035076	0
0.99998677	1
0.0077064764	0
0.018090697	0
0.00865701	0
0.018452777	0
0.008533561	0
0.008665182	0
0.99841213	1
0.010871473	0
0.009001825	0
0.006105908	0
0.00754588	0
0.12761134	0
0.015466856	0
0.9999999	1
0.99961984	1
0.008850634	0
0.008164971	0
0.9999589	1
0.007265756	0
0.9993869	1
0.999032	1
1.0	1
0.9999957	1
0.99985075	1
0.999998	1
0.010312646	0
0.010335253	0
0.007692196	0
0.9999999	1
0.0060752872	0
0.9992011	1
0.026421428	0
0.011174711	0
0.99953425	1
1.0	1
0.012269189	0
0.99534816	1
0.99999976	1
0.0108328685	0
0.9999981	1
0.9913334	1
0.011459983	0
0.00946908	0
0.9970797	0
0.0068997988	0
0.7503547	0
0.011952231	0
0.9988269	1
0.99997747	1
0.99954236	1
0.99999964	1
0.009386909	0
0.97464436	1
0.013901038	0
0.007944839	0
0.99999285	1
1.0	1
0.9999697	1
0.99999964	1
0.008910769	0
0.9874429	1
0.999949	1
0.07895504	1
0.007215965	0
0.017037537	0
0.99678457	1
0.011720295	0
0.999977	1
0.99999106	1
0.14240061	1
1.0	1
0.00827571	0
0.09338791	0
0.98796296	1
1.0	1
0.006297978	0
0.006802981	0
0.007807212	0
1.0	1
0.023369417	0
1.0	1
0.010145628	0
1.0	1
0.01113141	0
0.008042825	0
1.0	1
0.017906792	0
0.012647068	0
0.0069931415	0
0.011346625	0
0.999642	1
0.0036381935	0
0.008764208	0
0.059868436	0
0.9999943	1
0.012278947	0
0.9999821	1
0.15804824	0
0.021118838	0
1.0	1
1.0	1
0.99996567	1
0.86560935	0
0.9976432	1
0.009014561	0
0.9999175	1
0.75880414	1
0.9999993	1
0.014454303	0
0.9994116	1
0.008656592	0
0.008446418	0
0.013009906	0
0.007379596	0
0.012757039	0
0.007840614	0
0.0058948398	0
