pred	real
0.00012151141	0
2.3293394e-05	0
1.0	1
0.00010563556	0
1.0	1
0.99995434	1
0.00038489117	0
0.9988844	1
0.9999999	1
0.0037234596	0
1.0	1
2.7495962e-05	0
1.0	1
1.4644266e-08	0
2.299416e-06	0
1.0	1
0.00052330067	0
1.0	1
1.0	1
0.9991899	1
1.5344447e-05	0
1.0	1
9.849067e-06	0
8.238307e-08	0
1.0	1
0.00022288297	0
0.0001077778	0
1.0	1
1.0	1
4.2455754e-06	0
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
2.632954e-09	0
1.0	1
1.0	1
1.7897233e-09	0
2.6602548e-08	0
4.8135587e-07	0
5.638415e-05	0
7.35533e-06	0
1.0	1
5.6770017e-07	0
1.0	1
1.0	1
1.0	1
1.0	1
7.6102406e-05	0
8.6386055e-05	0
1.3644663e-07	0
3.3856214e-08	0
0.00023695923	0
0.00036673795	0
1.0	1
3.6072546e-05	0
0.0002492575	0
0.99999976	1
2.3521964e-07	0
6.96248e-05	0
5.631954e-06	0
2.892144e-06	0
1.0	1
1.0	1
1.1687056e-06	0
6.3804255e-05	0
0.9999784	1
5.8959913e-08	0
1.0	1
1.0	1
0.9682263	1
0.00079171377	0
1.0	1
1.0	1
0.020870842	0
1.7220764e-05	0
1.0	1
1.0	1
0.9999999	1
1.0	1
0.9999999	1
1.0	1
1.0	1
0.009690326	0
1.0	1
1.0	1
1.3535705e-05	0
1.0	1
0.009202977	0
1.0	1
1.0	1
1.0	1
1.0	1
1.7102005e-06	0
5.075831e-06	0
1.0	1
1.0	1
1.0	1
1.1316378e-07	0
1.0	1
0.49912107	0
1.0	1
1.0	1
1.0	1
8.106786e-10	0
0.9999994	1
0.0010953383	0
2.2642382e-05	0
9.301739e-08	0
2.3817951e-05	0
1.0	1
1.0	1
1.0	1
1.0	1
5.4859595e-07	0
1.0	1
1.0	1
7.736801e-05	0
1.0	1
1.0	1
0.9841096	1
1.0	1
8.0962245e-08	0
1.030082e-07	0
1.0	1
0.9997321	1
1.0	1
1.0	1
3.1515186e-11	0
0.0007411759	0
1.0	1
1.0680522e-10	0
1.0	1
0.00028188864	0
1.0	1
1.0	1
0.9999536	1
0.2616413	0
1.0	1
1.0	1
1.0	1
3.043643e-07	0
6.3126357e-09	0
0.0033290363	0
1.9235624e-05	0
1.0	1
1.11960625e-13	0
3.624588e-07	0
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
8.932214e-06	0
1.0	1
1.0	1
4.382952e-05	0
8.8788893e-10	0
1.0	1
1.0	1
1.0	1
1.0	1
4.99286e-08	0
0.0001788343	0
2.1998536e-08	0
1.0	1
0.00026736705	0
0.0035840299	0
6.6760714e-10	0
0.005063089	0
6.207962e-05	0
1.0	1
7.1485054e-08	0
2.2512695e-06	0
0.84893733	1
1.0	1
0.00013654174	0
2.4729167e-07	0
1.0	1
3.3332057e-07	0
0.9999999	1
1.0465283e-05	0
1.0	1
2.3091224e-09	0
1.0	1
4.0446004e-05	0
1.0	1
0.0014984409	0
5.8962487e-05	0
0.9999937	1
5.7094912e-08	0
0.0005149765	0
3.0440976e-06	0
1.0	1
7.7197996e-07	0
1.6166952e-06	0
1.0	1
3.9986378e-07	0
1.0	1
1.0	1
0.00038639683	0
1.0524272e-05	0
1.0	1
0.99994683	1
1.0	1
1.0	1
0.9999999	1
1.0	1
8.604614e-10	0
1.0	1
1.0	1
1.0	1
1.5093981e-06	0
1.0	1
1.0	1
1.1312504e-07	0
5.613611e-09	0
2.3991056e-10	0
1.0	1
1.0	1
4.1430726e-06	0
2.9860976e-05	0
1.0	1
4.7154576e-06	0
1.0	1
1.0	1
1.0	1
1.0	1
1.9336073e-06	0
9.940636e-07	0
1.0	1
1.0	1
1.0	1
1.0	1
8.5865895e-06	0
1.0	1
1.0	1
9.923475e-06	0
1.0	1
1.4783541e-07	0
5.442104e-07	0
2.4321048e-06	0
1.9805585e-10	0
0.0054045874	0
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
7.466371e-10	0
2.6476248e-05	0
1.0	1
1.0	1
0.61968696	0
1.0	1
6.8880883e-09	0
1.0	1
4.3561215e-08	0
1.6142429e-05	0
2.7917635e-09	0
0.00012834737	0
1.0	1
1.4954354e-06	0
1.2075633e-07	0
3.3652395e-05	0
1.0	1
1.9910782e-05	0
1.0	1
9.214059e-05	0
0.9999999	1
1.14549175e-05	0
3.7755225e-07	0
0.9999887	1
0.9999958	1
1.0	1
1.0	1
6.9974094e-06	0
1.0	1
1.0	1
1.0	1
8.666352e-07	0
1.0	1
1.0	1
1.0	1
0.00012052846	0
1.0	1
0.0022802772	0
3.141259e-07	0
1.0	1
3.6299016e-06	0
1.0	1
1.0	1
8.26578e-05	0
5.7008954e-08	0
3.8502887e-07	0
1.0	1
1.0	1
1.0	1
1.0	1
2.7248271e-08	0
4.475459e-05	0
1.0	1
1.0	1
6.3783995e-07	0
0.012995377	0
3.8635898e-07	0
1.0	1
3.3401157e-05	0
4.502916e-10	0
0.00097352435	0
1.16026495e-05	0
1.5403033e-05	0
3.416232e-08	0
1.0	1
8.2356337e-07	0
4.179826e-06	0
5.6772624e-06	0
0.001204275	0
4.3179622e-07	0
3.8932488e-10	0
1.0	1
0.00062249065	0
3.639694e-07	0
1.23018335e-05	0
2.5642907e-13	0
0.0008287335	0
6.2593936e-05	0
1.0	1
0.9997563	1
0.0003507018	0
5.8290763e-09	0
1.0	1
1.5385431e-06	0
1.0	1
0.99747723	1
1.0	1
1.0	1
0.9936765	1
1.0	1
4.99286e-08	0
5.6252688e-14	0
1.4224423e-06	0
1.0	1
9.983809e-07	0
1.0	1
8.632156e-08	0
4.283102e-15	0
1.0	1
1.0	1
0.00033884516	0
0.9979759	1
1.0	1
2.0225605e-16	0
1.0	1
0.99984956	1
1.4554795e-08	0
3.0285917e-06	0
8.4026976e-07	0
1.4957841e-08	0
2.1659926e-07	0
5.9467116e-06	0
1.0	1
1.0	1
1.0	1
1.0	1
6.704223e-05	0
1.0	1
1.3489291e-06	0
2.9903473e-09	0
1.0	1
1.0	1
1.0	1
1.0	1
0.0011572819	0
1.0	1
1.0	1
0.99816823	1
8.111393e-06	0
4.968418e-08	0
1.0	1
7.2085524e-05	0
0.9997186	1
1.0	1
1.0	1
1.0	1
5.3046133e-08	0
0.95258045	0
1.0	1
1.0	1
1.0696269e-12	0
2.5944214e-06	0
1.00026725e-07	0
1.0	1
1.3048824e-05	0
1.0	1
1.0197132e-06	0
1.0	1
3.4349534e-05	0
1.4422289e-08	0
1.0	1
1.3838447e-06	0
3.9782488e-05	0
9.021829e-09	0
1.4327868e-06	0
1.0	1
0.007312733	0
1.12149205e-08	0
0.16729033	0
1.0	1
0.00015880026	0
1.0	1
0.04463821	0
3.131295e-06	0
1.0	1
1.0	1
1.0	1
1.58729e-05	0
1.0	1
7.2886417e-07	0
1.0	1
1.0	1
1.0	1
0.00013218787	0
1.0	1
5.220302e-19	0
7.174216e-11	0
3.561214e-07	0
1.4076464e-07	0
5.729313e-08	0
7.629292e-09	0
2.80013e-06	0
1.0	1
0.0002062523	0
0.0067975	0
1.0	1
0.000100732155	0
0.00019861135	0
4.502282e-06	0
9.594904e-05	0
2.2932165e-05	0
8.0301674e-05	0
0.9769703	1
0.00010703454	0
7.5599833e-06	0
1.0	1
1.0	1
1.0	1
1.0	1
0.0084265135	0
1.0	1
1.0	1
1.2221267e-05	0
1.0	1
1.0	1
1.8278189e-10	0
3.1748207e-10	0
8.9349743e-07	0
1.0	1
5.607176e-05	0
1.0	1
1.0	1
2.3029446e-11	0
0.0001234054	0
1.4094561e-06	0
2.7698258e-07	0
1.4724851e-07	0
1.3057979e-07	0
1.0	1
1.0	1
1.0	1
1.0	1
4.356917e-06	0
1.0	1
6.5574106e-08	0
4.4021064e-07	0
1.0	1
2.5530893e-05	0
1.0	1
1.0	1
2.2716913e-06	0
1.2534519e-10	0
0.9728147	1
1.1318583e-05	0
1.0	1
1.0	1
1.0	1
6.655455e-07	0
0.0017814975	0
1.0	1
1.0	1
1.0	1
0.006317229	0
4.7670255e-06	0
0.00027805034	0
5.5105087e-05	0
0.99999964	1
0.0005251362	0
0.9999995	1
1.0	1
1.5731592e-05	0
1.0	1
1.0	1
6.2869476e-05	0
1.0	1
1.0	1
1.0	1
0.87109905	1
1.72172e-05	0
1.2985587e-05	0
0.00022309835	0
7.0742703e-07	0
1.0	1
0.00016337026	0
1.0	1
1.0	1
1.0	1
4.658573e-05	0
1.0	1
5.330531e-05	0
9.970502e-05	0
1.5708927e-06	0
6.5774635e-05	0
1.0	1
1.0	1
1.0	1
1.0	1
0.00031521716	0
9.343487e-05	0
1.0	1
1.0	1
1.0	1
6.8307793e-07	0
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.006502e-08	0
1.0	1
0.9898344	1
9.160802e-07	0
0.9999981	1
1.0	1
3.577025e-06	0
1.0	1
1.17667205e-05	0
1.0	1
4.0711663e-07	0
1.3902034e-06	0
5.030695e-05	0
1.0	1
0.000120326564	0
1.0	1
0.0008172013	0
1.0	1
0.00037538313	0
3.2067265e-07	0
0.9999999	1
1.0	1
1.16799754e-07	0
1.0	1
1.0	1
1.0	1
7.874565e-09	0
1.0	1
2.5559045e-06	0
7.0514e-11	0
1.0	1
9.467001e-06	0
1.0	1
6.921192e-07	0
0.02821268	0
1.0	1
4.5272242e-15	0
6.8146754e-08	0
1.0	1
9.458945e-09	0
6.0484524e-08	0
9.061158e-05	0
1.0	1
6.080406e-07	0
6.3289015e-08	0
1.0	1
1.0	1
1.0	1
1.0	1
1.4121701e-05	0
1.0	1
1.0	1
2.3262082e-06	0
2.4274947e-05	0
1.0	1
1.0	1
1.0	1
4.8352677e-09	0
1.0	1
1.0	1
0.99999976	1
1.0	1
1.0	1
8.554502e-11	0
1.0	1
1.0327864e-05	0
0.99999964	1
2.9901386e-05	0
7.383062e-06	0
1.3131126e-06	0
2.5679515e-07	0
1.0	1
7.2296796e-05	0
1.0	1
0.9996761	1
0.99999654	1
1.05495836e-07	0
2.9649718e-05	0
1.0	1
1.0	1
0.99999964	1
1.0	1
8.02932e-07	0
1.5635767e-06	0
1.0	1
7.996307e-06	0
6.3959325e-17	0
1.0	1
1.0	1
1.0	1
0.0016266961	0
7.722584e-06	0
0.00017390393	0
3.1634947e-05	0
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.04230825e-10	0
1.3926613e-12	0
2.712194e-07	0
1.0	1
3.9373965e-05	0
1.1228088e-07	0
1.0	1
1.0	1
1.0	1
1.0	1
1.2388531e-05	0
0.7498194	1
4.677208e-12	0
1.0	1
1.0	1
3.0020583e-06	0
1.0	1
3.882626e-08	0
1.0	1
1.8685716e-05	0
1.0	1
1.0	1
0.00020610998	0
1.0	1
2.5801242e-08	0
1.0	1
0.0017280688	0
1.0	1
3.6404533e-08	0
1.0	1
0.9897166	1
1.0	1
1.0	1
1.0	1
1.0753551e-05	0
3.2174437e-06	0
1.0	1
1.0	1
1.0	1
1.0	1
1.5404105e-07	0
0.00010025349	0
0.9999999	1
0.00021179486	0
5.2057544e-08	0
1.0	1
0.99999225	1
6.359468e-07	0
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
8.283629e-05	0
1.4395936e-11	0
0.00062961184	0
1.2556432e-05	0
0.00023364142	0
7.092513e-05	0
0.00050087104	0
3.8985104e-10	0
2.8975197e-07	0
2.9311874e-05	0
1.0	1
7.04241e-06	0
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
0.0017153975	0
1.1186362e-07	0
5.752525e-20	0
6.105002e-07	0
0.9999931	1
1.0	1
1.0	1
3.7040662e-11	0
6.787247e-06	0
8.178372e-06	0
1.0	1
4.1549547e-06	0
1.0	1
2.2614353e-08	0
1.0696269e-12	0
8.148648e-06	0
1.0	1
1.0	1
7.134489e-08	0
1.2173389e-05	0
1.559954e-05	0
0.9989656	1
1.0	1
1.0	1
8.359039e-06	0
1.0	1
1.3827998e-06	0
0.007515456	0
9.240079e-08	0
9.386236e-05	0
0.76853496	1
1.0	1
4.6723574e-08	0
4.861439e-05	0
1.0	1
1.7675211e-06	0
8.8166325e-06	0
2.485154e-07	0
5.3234245e-08	0
1.0	1
8.611269e-07	0
1.0	1
0.0013316211	0
3.8238326e-07	0
1.0	1
1.0	1
1.0	1
1.0	1
2.3892204e-09	0
1.0	1
1.0	1
1.3352759e-07	0
0.9999962	1
1.0	1
6.014567e-07	0
1.5043553e-07	0
5.8328993e-07	0
1.9373978e-09	0
6.6919442e-06	0
1.0	1
1.0	1
7.402811e-11	0
0.0005937905	0
0.0009932143	0
1.0	1
1.1324585e-05	0
0.9999682	1
1.0	1
1.0	1
0.99999976	1
6.037123e-08	0
2.2015864e-05	0
2.8541666e-05	0
1.0	1
0.99999976	1
1.0	1
1.0	1
1.9347184e-05	0
1.0	1
1.0	1
0.0009718904	0
3.3474018e-06	0
1.0	1
5.566952e-09	0
0.9999999	1
1.0	1
2.1888456e-05	0
0.0008641248	0
0.4300274	1
0.9999993	1
1.0	1
1.0	1
0.9999999	1
1.0233529e-06	0
0.9999913	1
3.312512e-05	0
1.0	1
1.0	1
1.0	1
0.0007114039	0
1.0	1
5.055416e-07	0
3.5912953e-07	0
6.406266e-08	0
1.0	1
1.0	1
1.0	1
1.1978065e-12	0
1.0	1
0.00020817506	0
1.0	1
3.4208737e-05	0
0.00010296574	0
1.0	1
1.0	1
0.9914876	1
6.5544845e-07	0
1.1864192e-09	0
8.295323e-08	0
0.99999964	1
1.0	1
1.8062229e-06	0
4.3665204e-07	0
1.0	1
4.9505957e-06	0
3.6697614e-08	0
3.683345e-05	0
0.9998399	1
1.0	1
0.00013521346	0
0.00032026254	0
0.9999317	1
9.3735316e-08	0
1.0	1
1.0	1
1.0	1
0.0069993166	0
1.0	1
2.8490063e-06	0
0.9121905	1
1.0	1
2.7422418e-06	0
1.5017248e-07	0
2.6315379e-06	0
1.0	1
1.02656815e-13	0
1.0	1
0.19018011	0
4.163292e-06	0
0.99998534	1
7.462657e-06	0
1.0	1
5.807816e-08	0
1.9413038e-13	0
1.0	1
1.0	1
1.2059503e-05	0
1.0	1
1.0	1
4.634631e-05	0
2.2054228e-07	0
1.0	1
1.0	1
5.898662e-07	0
0.00028535575	0
0.9999999	1
0.16852264	1
0.0004227635	0
1.0	1
0.00021743431	0
0.99986506	1
4.5272016e-05	0
0.0013220978	0
0.002048701	0
0.9916164	1
1.0	1
1.0380601e-07	0
1.298558e-07	0
1.0	1
1.0	1
1.4689802e-09	0
1.0	1
2.1183446e-08	0
0.91838384	1
1.0	1
0.0007559432	0
1.0	1
1.4324982e-13	0
1.0	1
1.0	1
0.0004659962	0
1.0	1
1.0	1
3.3781387e-08	0
3.906292e-06	0
1.0	1
1.8838213e-05	0
1.0	1
1.0	1
0.9999982	1
1.3699621e-05	0
2.0914971e-05	0
1.0	1
1.0	1
3.531443e-09	0
2.1571523e-12	0
1.1366543e-07	0
3.6515692e-14	0
1.0	1
1.0	1
1.0	1
1.7689815e-15	0
3.3787316e-08	0
1.0	1
8.398419e-05	0
1.2522912e-05	0
1.07300316e-07	0
2.466198e-06	0
0.0057860534	0
1.4465023e-07	0
9.925465e-10	0
0.99989486	1
0.9999144	1
1.0	1
9.520698e-10	0
1.0	1
1.0	1
0.0051177093	0
1.0	1
1.0	1
1.0	1
0.99999964	1
0.9945147	1
4.6014907e-07	0
1.4709133e-07	0
1.0	1
1.0	1
0.9999995	1
0.9999987	1
1.0	1
0.0024892183	0
1.0	1
1.4684293e-05	0
2.7892538e-05	0
1.0465081e-09	0
0.92643523	1
1.5767373e-06	0
5.011162e-11	0
1.8046716e-06	0
1.0	1
1.0	1
7.632192e-08	0
1.9738064e-08	0
2.2061724e-05	0
1.0	1
6.53955e-08	0
7.953224e-06	0
1.0	1
6.431078e-06	0
9.670914e-08	0
5.121953e-06	0
1.0	1
6.812509e-11	0
0.00020121605	0
1.0	1
1.0	1
1.0	1
5.821268e-08	0
1.0	1
1.0	1
1.6227688e-06	0
7.829967e-08	0
1.0	1
3.7605196e-07	0
1.0	1
0.99999976	1
1.0	1
1.1213274e-08	0
0.040263455	0
1.0	1
0.9997949	1
1.0	1
1.7511209e-09	0
1.0	1
1.0	1
3.552314e-05	0
1.0	1
1.0	1
1.0	1
3.8206394e-07	0
1.0	1
1.0	1
0.009944767	0
1.0	1
0.9999858	1
1.0	1
1.0	1
1.0	1
0.0051677045	0
1.0	1
8.692253e-07	0
3.050288e-08	0
3.0306576e-06	0
1.0	1
1.0	1
1.0	1
2.281128e-09	0
1.0	1
1.0	1
1.8964863e-08	0
1.0	1
2.2789236e-06	0
2.1267759e-05	0
0.999997	1
0.0011884029	0
0.00021531062	0
1.9990164e-06	0
1.0	1
0.9999912	1
8.030815e-08	0
1.0	1
1.0	1
2.2735942e-06	0
1.5289071e-06	0
0.00032473632	0
1.0	1
8.37989e-07	0
1.0	1
5.6996128e-06	0
1.0	1
0.29082313	1
1.0	1
1.6293468e-07	0
1.0688669e-07	0
4.639987e-05	0
2.0539594e-05	0
1.0421617e-09	0
0.0003867285	0
2.915531e-05	0
1.0	1
1.0	1
1.0	1
2.535619e-05	0
1.7487942e-05	0
6.4828254e-07	0
1.0	1
0.98692536	1
1.0	1
6.3132014e-05	0
1.0	1
4.1745725e-08	0
1.0	1
1.0	1
1.0	1
0.99999726	1
2.2544778e-05	0
0.98633856	1
1.0	1
1.1146535e-07	0
1.0	1
5.131532e-07	0
1.572831e-07	0
1.0	1
1.0	1
1.0	1
0.99995434	1
0.007695159	0
0.99991834	1
0.012597244	0
1.298352e-05	0
1.504978e-07	0
1.0	1
4.2952437e-05	0
1.3480054e-07	0
1.0	1
1.6464018e-08	0
1.0	1
1.0	1
1.0	1
1.0	1
1.0	1
4.0475545e-08	0
4.9785767e-06	0
1.0	1
0.00016855904	0
1.0	1
1.0	1
1.0	1
2.2267736e-06	0
4.3652543e-07	0
1.0	1
4.4972826e-06	0
1.0	1
6.2505955e-05	0
0.0035078728	0
4.9136866e-06	0
0.9998665	1
0.003326433	0
1.0	1
1.0	1
1.0	1
1.0	1
0.00090654066	0
1.0	1
1.0	1
0.99999976	1
0.000854596	0
0.00015062412	0
0.00038866367	0
2.206085e-08	0
1.1889545e-06	0
0.0012764041	0
1.0	1
1.3960169e-09	0
3.8248317e-07	0
1.0	1
1.0	1
1.0	1
8.575877e-06	0
8.645066e-06	0
3.426949e-07	0
7.17683e-06	0
0.9999994	1
0.00040067642	0
3.9309565e-08	0
1.9605914e-06	0
0.00025888783	0
1.0	1
8.4355287e-07	0
0.9900233	1
3.7810137e-06	0
2.258915e-06	0
1.0	1
1.0	1
0.9999999	1
6.250848e-06	0
5.2375556e-12	0
1.5194518e-05	0
1.0	1
1.0	1
1.9343784e-06	0
1.0	1
1.0	1
0.042691298	0
4.295885e-07	0
2.4451444e-06	0
1.0	1
2.0755104e-08	0
5.5224385e-09	0
0.9935654	1
6.9778105e-07	0
1.0	1
1.0	1
2.921629e-05	0
0.9999987	1
4.6908797e-05	0
1.0	1
4.3490897e-12	0
0.0054045874	0
5.2742176e-05	0
3.032981e-09	0
1.0	1
1.0	1
1.0	1
0.9999727	1
1.0	1
1.0	1
1.8052002e-06	0
0.99987626	1
2.6183925e-05	0
0.9999546	1
0.00055795535	0
1.0	1
4.4430567e-06	0
1.0	1
4.083346e-09	0
