pred	real
0.37642252	0
0.19103166	0
0.40510374	0
0.23771042	0
0.26494122	1
0.26995382	1
0.3738804	0
0.3022607	0
0.97710586	1
0.31153846	0
0.3683787	1
0.27505594	0
0.9472898	1
0.10792917	0
0.3046978	1
0.9999938	1
0.44012797	0
0.1946398	0
0.07576674	0
0.14600497	0
0.30433422	0
0.39815736	0
0.27930623	0
0.999995	1
0.23568872	0
0.62615705	0
0.31769872	0
0.5749296	0
0.52098143	0
0.5403054	0
0.24277344	0
0.3292272	0
0.5642524	1
0.9791137	0
0.34831116	0
0.44979793	0
0.9005228	1
0.9918259	1
0.8615525	1
0.46135792	1
0.46329886	0
0.119776934	0
0.18858585	0
0.38015497	0
0.29740015	0
0.24483821	0
0.16933984	0
0.9986901	1
0.15741944	0
0.1648755	0
0.5204428	0
0.7195314	1
0.28069457	1
0.2578783	0
0.25693715	0
0.35822606	0
0.17945224	0
0.38064396	0
0.9471561	1
0.33053046	0
0.4664071	0
0.32435298	0
0.69035524	0
0.27670586	0
0.999503	1
0.46082613	0
0.46932197	1
0.27064168	1
0.83546245	0
0.15366411	0
0.13215491	0
0.32566917	0
0.19933543	0
0.17785221	0
0.1431615	0
0.50983834	0
0.4547067	0
0.40462634	0
0.45994025	0
0.16818166	0
0.31394768	0
0.3190872	0
0.2748495	0
0.2560236	0
0.1961466	0
0.3671	0
0.26221365	0
0.31854475	0
0.14835641	0
0.218927	0
0.31158078	0
0.20123377	0
0.41255662	0
0.18071923	0
0.10009819	0
0.28474945	0
0.19346064	0
0.09110883	0
0.21707883	0
0.2569138	0
0.9996729	1
0.69707847	0
0.3968619	0
0.13493946	0
0.4999902	0
0.83019304	1
0.21439096	0
0.1500237	0
0.4561458	0
0.2995683	0
0.6701011	1
0.25300577	0
0.38332096	1
0.13468766	0
0.23528588	0
0.21477932	0
0.25874165	0
0.3230818	0
0.24941498	0
0.64570683	1
0.39379227	0
0.26352757	0
0.424717	0
0.8253645	1
0.30710033	0
0.9418894	1
0.11628854	0
0.3452683	0
0.31755227	0
0.33293837	0
0.8675691	1
0.9962841	1
0.27548075	0
0.27531287	0
0.12788409	0
0.9979038	1
0.6373621	0
0.9531315	1
0.34993452	0
0.20192766	0
0.9549043	1
0.12998745	0
0.990551	1
0.3376795	0
0.14455521	0
0.41528067	0
0.18188539	0
0.24602798	0
0.56780356	0
0.19752866	0
0.31729496	0
0.3031795	0
0.14405912	0
0.36685553	0
0.43814245	0
0.14798948	0
0.26463556	0
0.26062405	0
0.3702554	0
0.22821876	0
0.21795505	0
0.24483627	0
0.25723478	0
0.30255806	0
0.09492043	0
0.08539522	0
0.22393835	0
0.21937773	0
0.28764087	0
0.25560755	0
0.301657	0
0.2902729	0
0.23830199	0
0.117548436	0
0.21482787	0
0.43753302	1
0.3558973	0
0.2150017	0
0.2126557	0
0.047673613	0
0.99160707	1
0.23111686	0
0.280895	0
0.18831792	0
0.5811709	0
0.37029853	0
0.25702927	0
0.12558562	0
0.32986057	0
0.14847723	0
0.08936182	0
0.33842397	0
0.29063118	0
0.20132321	0
0.25465137	0
0.2574493	0
0.17603916	0
0.6731247	0
0.20984226	0
0.119740665	0
0.10858965	0
0.31749052	0
0.39357403	0
0.2777208	0
0.47704005	0
0.3909799	0
0.31053218	0
0.38621315	0
0.3211083	0
0.38018206	0
0.4016228	0
0.9735614	1
0.20942256	0
0.46298614	0
0.38023454	0
0.2326903	0
0.32606953	1
0.2564419	0
0.3518948	0
0.9985395	1
0.21617088	0
0.33311585	0
0.35894918	0
0.18410498	0
0.13665515	0
0.74093705	1
0.35047728	0
0.29322502	0
0.99589264	1
0.08552641	0
0.2808646	0
0.18937361	0
0.22894305	0
0.27098122	0
0.21928233	0
0.21271643	0
0.21824443	0
0.30770743	0
0.194796	0
0.41559923	0
0.20683908	0
0.12191281	0
0.6480258	0
0.4244915	0
0.17899624	0
0.114174485	0
0.36412513	0
0.22345912	0
0.1676969	0
0.25244325	0
0.18203461	0
0.4539125	0
0.18753311	0
0.25971323	0
0.8518946	0
0.98821443	1
0.27626294	0
0.09999013	0
0.24170715	0
0.19113949	0
0.41543603	0
0.2655506	0
0.20535135	1
0.3254891	0
0.19434538	0
