pred	real
0.39815438	0
0.24517107	0
0.6047705	0
0.17598552	0
0.30757195	1
0.6047193	1
0.35464454	0
0.10335231	0
0.9993603	1
0.3443759	0
0.14415997	1
0.3532251	0
0.9996327	1
0.07174933	0
0.31201345	1
0.9999931	1
0.36035013	0
0.16258231	0
0.06337324	0
0.33051294	0
0.38790143	0
0.34623933	0
0.6404781	0
0.81397194	1
0.32169485	0
0.83467174	0
0.21966633	0
0.57265985	0
0.72393525	0
0.32847148	0
0.3206558	0
0.8745476	0
0.2613631	1
0.7000726	0
0.41774315	0
0.3450533	0
0.5877119	1
0.8346031	1
0.7282064	1
0.464585	1
0.70498234	0
0.20842957	0
0.15042645	0
0.55304426	0
0.1018109	0
0.31881988	0
0.23882708	0
0.9907411	1
0.25321633	0
0.5562213	0
0.019805968	0
0.55271745	1
0.42762348	1
0.20211756	0
0.31403112	0
0.8116665	0
0.17130217	0
0.27461237	0
0.9951198	1
0.23480201	0
0.4082128	0
0.7329024	0
0.34875318	0
0.6349715	0
0.99669135	1
0.4022643	0
0.72758603	1
0.35405156	1
0.6482693	0
0.2802552	0
0.10936174	0
0.3423282	0
0.35561296	0
0.26269454	0
0.12794548	0
0.19386879	0
0.3935738	0
0.5923022	0
0.44921517	0
0.23347875	0
0.42897874	0
0.35332373	0
0.27267832	0
0.34835297	0
0.35106474	0
0.71664405	0
0.19032824	0
0.45640314	0
0.16731513	0
0.5613496	0
0.29832745	0
0.34830278	0
0.31227332	0
0.310683	0
0.2228947	0
0.39087462	0
0.45653105	0
0.1491622	0
0.2858897	0
0.15916604	0
0.99999917	1
0.99006426	0
0.46405736	0
0.256576	0
0.1822618	0
0.96509874	1
0.18543378	0
0.11177361	0
0.606349	0
0.42613629	0
0.525975	1
0.28540087	0
0.6966498	1
0.17805052	0
0.054187	0
0.23863453	0
0.5021208	0
0.40956014	0
0.3176363	0
0.57627183	1
0.39068866	0
0.24399656	0
0.45034778	0
0.45064893	1
0.32746083	0
0.6335342	1
0.14097148	0
0.4081686	0
0.45443898	0
0.28094202	0
0.7729285	1
0.38357344	1
0.38596576	0
0.21466112	0
0.16480374	0
0.8598678	1
0.6011259	0
0.99041116	1
0.2868618	0
0.27502665	0
0.9960712	1
0.32216084	0
0.7732278	1
0.057688475	0
0.47632006	0
0.4210639	0
0.40325353	0
0.38487864	0
0.8184377	0
0.10011241	0
0.27331346	0
0.3387702	0
0.31313473	0
0.29241967	0
0.21427861	0
0.1677917	0
0.23490995	0
0.25744724	0
0.614801	0
0.32803172	0
0.5372128	0
0.28616345	0
0.15876523	0
0.3811702	0
0.21080923	0
0.22651103	0
0.6203745	0
0.21822906	0
0.53123885	0
0.40710795	0
0.33517456	0
0.29456222	0
0.26787645	0
0.13114265	0
0.25358105	0
0.30306798	1
0.4691843	0
0.26669928	0
0.59979063	0
0.0073265135	0
0.5235898	1
0.3852104	0
0.3811237	0
0.35033387	0
0.8038871	0
0.1344775	0
0.38998973	0
0.083032995	0
0.28723955	0
0.085460305	0
0.1646617	0
0.3693626	0
0.055007964	0
0.029602349	0
0.34337765	0
0.2619732	0
0.39271638	0
0.3132184	0
0.47508323	0
0.3416682	0
0.2066656	0
0.6517762	0
0.48131523	0
0.2642641	0
0.48532104	0
0.27000394	0
0.3604512	0
0.24665919	0
0.38528097	0
0.38688377	0
0.577181	0
0.99781966	1
0.16510749	0
0.4202168	0
0.33830643	0
0.14158219	0
0.34219348	1
0.4607392	0
0.29598963	0
0.9969734	1
0.16304353	0
0.39272535	0
0.41726458	0
0.23078421	0
0.21469992	0
0.84056276	1
0.47198942	0
0.37510088	0
0.9173567	1
0.0039506853	0
0.46258867	0
0.10619375	0
0.18982786	0
0.40297845	0
0.20147291	0
0.5352136	0
0.16935715	0
0.58708346	0
0.1648852	0
0.6071421	0
0.23333064	0
0.32212168	0
0.6497588	0
0.21101019	0
0.12628612	0
0.114818335	0
0.9803823	0
0.18862942	0
0.046966523	0
0.12902978	0
0.39079687	0
0.42259663	0
0.30510128	0
0.66714895	0
0.4657008	0
0.9983548	1
0.39238274	0
0.11600149	0
0.22841686	0
0.099643975	0
0.15657839	0
0.6474751	0
0.23964894	1
0.25583345	0
0.19729385	0
0.12310007	1
0.23428127	0
0.32424173	0
0.12913996	0
0.23803183	0
0.24469373	0
0.17452732	0
0.30282927	0
0.35339552	0
0.67173374	0
1.0	1
0.27475855	1
0.41160244	0
0.21239322	0
0.3583965	0
0.2989856	0
0.12791413	0
0.29274774	0
0.3389007	0
0.21426138	0
0.6062747	0
0.9662593	1
0.2701375	0
0.06953195	0
0.3977007	0
0.30944443	0
0.22717857	0
0.035027772	0
0.13059756	0
0.40997276	1
0.24637371	0
0.50505584	0
0.5979803	1
0.5910813	0
0.19606027	0
0.07467806	0
0.22633424	0
0.2996623	0
0.7389933	0
0.69930774	0
0.25985003	0
0.313722	0
0.28884238	0
0.05777812	0
0.46792775	1
0.45367926	0
0.4170941	0
0.7243669	1
0.34885222	0
0.19578588	0
0.5383074	0
0.2868337	0
0.5278938	0
0.13125864	0
0.8556175	1
0.3834124	0
0.38474232	0
0.25301993	0
0.24599543	0
0.14221415	0
0.6424275	0
0.114613146	0
0.12354079	0
1.0	1
0.35737336	0
0.11612922	0
0.48509994	0
0.30919224	0
0.3110807	0
0.2549196	0
0.2367903	0
0.5209277	0
0.43564776	0
0.32946032	0
0.23575908	0
0.4460747	1
0.62907207	0
0.31283545	0
0.38959926	0
0.59810686	1
0.15674183	0
0.3493718	0
0.19597688	0
0.38000715	0
0.18245712	0
0.35241008	0
0.33681035	1
0.19801727	0
0.38482064	0
0.2648397	0
0.27133074	0
0.1269919	0
0.34966606	0
0.28553432	0
0.41116333	0
0.34387028	0
0.1509844	0
0.021089882	0
0.7483884	0
0.08722913	0
0.42061913	1
0.29331803	0
0.29689264	1
0.61186266	0
0.13108969	0
0.2733481	0
0.7093395	0
0.116442055	0
0.39708447	1
0.56691766	0
0.5156974	0
0.5100574	0
0.9249165	0
0.13020602	0
0.45192063	0
0.32892495	0
0.20891324	0
0.15326416	0
0.9679623	1
0.18218172	0
0.16023448	0
0.32882217	0
0.5414012	0
0.3176177	0
0.5135302	0
0.21801412	0
0.1588637	0
0.49991703	0
0.8598888	1
0.26271927	0
0.34310257	0
0.99797297	1
0.15497193	0
0.22402763	0
